swaps_id,swaps_hash,swaps_nonce,swaps_logIndex,swaps_gasLimit,swaps_gasUsed,swaps_gasPrice,swaps_protocol_id,swaps_account_id,swaps_pool_id,swaps_blockNumber,swaps_timestamp,swaps_tick,swaps_tokenIn_id,swaps_amountIn,swaps_amountInUSD,swaps_tokenOut_id,swaps_amountOut,swaps_amountOutUSD,endpoint
0x201fe5fce6cff86d292586684d0823e48ddd428c3e4975165a7527ea40c7516db3000000,0x201fe5fce6cff86d292586684d0823e48ddd428c3e4975165a7527ea40c7516d,2626,179,380181,,93718749546,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x6d006e7d1d522925e31ac896a303e679aba12259,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119309,1643707307,197007,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,153215740072202174464,427031.3890199833,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,425435382960,425435.38296,uniswap-v3-ethereum
0x1041203aaf7529c3f58745eef072bff3287adebb6dd7701dd03db8ec3a9b90c5b8000000,0x1041203aaf7529c3f58745eef072bff3287adebb6dd7701dd03db8ec3a9b90c5,117,184,297748,,116000000000,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xed7498b28f96c117fea5c4c32b3d4167fb819d05,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119312,1643707342,197007,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,281473346012368809,783.3412388258187,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,780990153,780.990153,uniswap-v3-ethereum
0xdf3e4eb64eb4035bc53897dd7761421d762e593ce4ca40a91d8ea11d118e991500010000,0xdf3e4eb64eb4035bc53897dd7761421d762e593ce4ca40a91d8ea11d118e9915,1179,256,188738,,96389579910,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x98d562c7a4781e3e6c0d16f67469b0a3b0cb25c7,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119313,1643707397,197007,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,36040630738832788,100.3009201594091,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,100000000,100.0,uniswap-v3-ethereum
0x0b2d1154ae20f251c7f493d17aa3d2181fb5d99e9740afd7396d8fcf9b67c2e458000000,0x0b2d1154ae20f251c7f493d17aa3d2181fb5d99e9740afd7396d8fcf9b67c2e4,731,88,301425,,105700032222,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x16f7183854dbbd1860fbb9af411f8204fa479aea,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119314,1643707416,197007,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,281447961821902941,783.268193307609,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,780917327,780.917327,uniswap-v3-ethereum
0x788a9b2f153b1950dc8813d7a8e6bb82b3763d70d670d11a74c800db0f5ab75a22000000,0x788a9b2f153b1950dc8813d7a8e6bb82b3763d70d670d11a74c800db0f5ab75a,2532,34,272982,,92860723631,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x55f2e91e00dfe5ddfb7256a225f7109fdc0bbd1e,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119318,1643707449,197018,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,114332815884476530688,318186.7589297858,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,317057198679,317057.198679,uniswap-v3-ethereum
0xfa3f235949675e66f5c22479ff46a27cae17442e62e7429669ac99ca5611deeddc000000,0xfa3f235949675e66f5c22479ff46a27cae17442e62e7429669ac99ca5611deed,1,220,863244,,107626177789,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xfa798c277b8557b4829fe6e65f6aea123bed0872,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119321,1643707522,197024,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,60000000000000000000,166795.05364710538,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,166246540943,166246.540943,uniswap-v3-ethereum
0x8aa4019ff4a5ba15640e99ee983e0d56bb2f99ae5c1136b26deebe5bc690083307000000,0x8aa4019ff4a5ba15640e99ee983e0d56bb2f99ae5c1136b26deebe5bc6900833,9026,7,1200000,,92488510606,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119325,1643707573,197038,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,152277556781072435957,423074.06309722393,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,421495246792,421495.246792,uniswap-v3-ethereum
0xa68c17552612c2ee80408b74316390158748528c887ea9c9671557aa623f9d0707000000,0xa68c17552612c2ee80408b74316390158748528c887ea9c9671557aa623f9d07,7452,7,1200000,,81575644914,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x60b86af869f23aeb552fb7f3cabd11b829f6ab2f,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119337,1643707693,197064,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,271305737601399932967,752665.003320418,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,749453729696,749453.729696,uniswap-v3-ethereum
0xb19b89b1e30cb7eb3dda40640b60b7c6bff30958984e3e4b8698f9d93c10afe061000000,0xb19b89b1e30cb7eb3dda40640b60b7c6bff30958984e3e4b8698f9d93c10afe0,11767,97,350600,,82684019624,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xe5818d70a9b5aed2bfde4e41fbcb07dd80f8fc84,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119351,1643707825,197064,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1161153683663039278,3213.1416139313133,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3203484821,3203.484821,uniswap-v3-ethereum
0x36b1ab7c184bfd77ec0d60b347377889902437974b6efa5a76cfde8de286c84609000000,0x36b1ab7c184bfd77ec0d60b347377889902437974b6efa5a76cfde8de286c846,9225,9,1200000,,67752656976,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xa5a13f62ce1113838e0d9b4559b8caf5f76463c0,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119353,1643707830,197083,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,205046145398833559132,567397.0362932228,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,565153785141,565153.785141,uniswap-v3-ethereum
0x94eb3c39e910c1054c0903746f113b2e5681b2cff07c407be26ddc0a55249359e0000000,0x94eb3c39e910c1054c0903746f113b2e5681b2cff07c407be26ddc0a55249359,8,224,206775,,67317252823,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x55c683f6d9daf030161fee846958c4c24902a91d,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,14119362,1643707912,197085,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,22043850000000000000,60882.39652463877,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,60693508519,60693.508519,uniswap-v3-ethereum
